p_bar,h2o_frac_fuel,mdot_fuel,mdot_ox,mdot_ratio,strain_rate_max_1ps,residence_time_s,T_max_K,z_Tmax_m,n_grid_points,X_C2H4_peak,z_C2H4_peak_m,X_O2_peak,z_O2_peak_m,X_N2_peak,z_N2_peak_m,X_H2O_peak,z_H2O_peak_m,X_CO_peak,z_CO_peak_m,X_CO2_peak,z_CO2_peak_m,X_H2_peak,z_H2_peak_m,X_OH_peak,z_OH_peak_m,X_H_peak,z_H_peak_m,X_O_peak,z_O_peak_m,X_C2H2_peak,z_C2H2_peak_m,X_CH4_peak,z_CH4_peak_m,X_C3H3_peak,z_C3H3_peak_m,X_C4H2_peak,z_C4H2_peak_m,X_C4H4_peak,z_C4H4_peak_m,X_C6H6_peak,z_C6H6_peak_m,X_C6H5_peak,z_C6H5_peak_m,X_C7H8_peak,z_C7H8_peak_m,X_C10H8_peak,z_C10H8_peak_m,X_C10H7_peak,z_C10H7_peak_m,X_C12H8_peak,z_C12H8_peak_m,X_C12H10_peak,z_C12H10_peak_m,X_C14H10_peak,z_C14H10_peak_m,X_C16H10_peak,z_C16H10_peak_m,X_C18H10_peak,z_C18H10_peak_m,case_id
1.0,0.08,0.14,0.3,2.142857142857143,152.1458558761542,0.022513778831831442,2164.168011379005,0.0085,109,0.9197833776626896,0.0,0.20999999027970584,0.02,0.7899999639650245,0.02,0.13758741661016316,0.008625,0.09013626012065734,0.0079375,0.08626381705909027,0.00875,0.04717069078826735,0.00725,0.008503196383204903,0.0090625,0.0043171078086546915,0.00875,0.0031942236955098077,0.0091875,0.04501417648801609,0.007125,0.003396292431662454,0.007125,0.0002857939372453407,0.007625,0.0026748340814436366,0.00725,0.00032934239992557003,0.006625,0.0009380974628930309,0.00675,9.430499621267674e-07,0.0075625,3.7372330690735206e-05,0.0065,7.345381024517329e-05,0.00675,8.296589329146822e-07,0.00775,7.247192668528988e-05,0.0069375,,,2.2160274130849606e-05,0.0065,2.8347355437681137e-05,0.006875,5.628769882714135e-05,0.0063125,P01.0bar_H2O08pct_mf0.140
1.0,0.08,0.2,0.3,1.4999999999999998,169.5918725206725,0.02117450474732153,2151.358730321187,0.0096875,109,0.9199941404539221,0.0,0.20999979186430065,0.02,0.7899995763599335,0.02,0.1368219020586987,0.0098125,0.09022357237475931,0.009125,0.08649218215376535,0.01,0.04670896820096275,0.0085,0.008417797081164257,0.010125,0.0044469300269008956,0.009875,0.003301459680876391,0.010375,0.04388250498077385,0.0083125,0.003408578519419657,0.0083125,0.00028844906372443705,0.00875,0.0025994125507866135,0.0085,0.0003420715341091197,0.0079375,0.0009162904165113374,0.008,1.0778487908792723e-06,0.00875,3.844912086692102e-05,0.0078125,7.139667794930635e-05,0.008125,8.853328012670577e-07,0.009,7.090103236673729e-05,0.0081875,,,2.064331879144366e-05,0.00775,2.7517857726212827e-05,0.008125,5.1850849306366974e-05,0.0075625,P01.0bar_H2O08pct_mf0.200
1.0,0.12,0.06,0.3,5.0,125.45176402788275,0.03007174139773922,2170.132396511228,0.006375,109,0.853103295546606,0.0,0.2099999997617191,0.02,0.7899999990567801,0.02,0.14256285207401054,0.0065,0.08811220010871182,0.00575,0.08648174697777285,0.00675,0.0480150736509205,0.005,0.008485107582293412,0.0069375,0.0040727594154000395,0.006625,0.0029745051475874437,0.007125,0.04515179557997499,0.00475,0.0033984741385607756,0.00475,0.0002614379685890479,0.005375,0.002558414079865655,0.005,0.0003003074139938104,0.00425,0.0009031518489133587,0.0045,7.731208924703631e-07,0.005375,3.3631055301514626e-05,0.00425,7.168823504110074e-05,0.0045,7.040876957859581e-07,0.005625,6.866261189561735e-05,0.004625,,,2.1806345690525173e-05,0.00425,2.7147426997688468e-05,0.004625,5.045602708101492e-05,0.003875,P01.0bar_H2O12pct_mf0.060
1.0,0.12,0.1,0.3,2.9999999999999996,139.07147022281333,0.02464969983049119,2163.715856135631,0.0075625,109,0.8782089439123136,0.0,0.20999999824721263,0.02,0.7899999930756699,0.02,0.14184562616807805,0.0076875,0.08837141595763855,0.0069375,0.08653440886943974,0.0078125,0.04724902546122958,0.00625,0.00848716192585667,0.008125,0.004166774679442411,0.00775,0.0030652430400963165,0.00825,0.04471869466912581,0.006,0.003382532642551435,0.006,0.0002701954763231774,0.006625,0.002563994551541358,0.00625,0.0003046402472630888,0.005625,0.0008955054905619261,0.00575,8.636657411794517e-07,0.0065625,3.371448840507923e-05,0.0055,7.068592532998354e-05,0.00575,7.661967726289017e-07,0.00675,6.885109268582272e-05,0.005875,,,2.1271094253742703e-05,0.0055,2.7144368503695653e-05,0.0058125,5.0004146499921024e-05,0.00525,P01.0bar_H2O12pct_mf0.100
1.0,0.12,0.14,0.3,2.142857142857143,150.9207198643528,0.02243249344169931,2155.463702195432,0.0085,109,0.8798088943507016,0.0,0.2099999901080441,0.02,0.7899999633272915,0.02,0.14073657812406473,0.008625,0.08875531470571374,0.0079375,0.08660914111451448,0.00875,0.04670422724207926,0.00725,0.008471551037497258,0.0090625,0.004280805247862679,0.00875,0.003135948527873138,0.0091875,0.04383375855958084,0.007125,0.0033789523754932825,0.007125,0.0002739811730869877,0.007625,0.0025298096759826146,0.0073125,0.00031620588523775274,0.00675,0.0008800215394363965,0.00675,9.280333568496563e-07,0.0075625,3.533248474898813e-05,0.0065,6.812949598963447e-05,0.006875,7.935602951148332e-07,0.00775,6.649167233700097e-05,0.0069375,,,2.0092379153270005e-05,0.0065,2.5957822653858055e-05,0.006875,4.6982848092966425e-05,0.0063125,P01.0bar_H2O12pct_mf0.140
1.0,0.12,0.2,0.3,1.4999999999999998,168.35254205119145,0.020984774902500534,2144.434368351772,0.0096875,111,0.879995027866879,0.0,0.20999978652317192,0.02,0.7899995578656691,0.02,0.14007126423469912,0.0098125,0.0890283044078702,0.009125,0.08667517256992606,0.01,0.04641557554880261,0.0085625,0.008404743551314318,0.010125,0.00441911151825102,0.009875,0.003256299153990511,0.010375,0.04282808725655215,0.008375,0.003391992337695745,0.008375,0.0002774832848535915,0.00875,0.002470537799443045,0.0085625,0.0003310548121493394,0.008,0.0008612072824371582,0.008,1.0555237110494583e-06,0.00875,3.662898050635128e-05,0.0078125,6.66609126532248e-05,0.008125,8.499527079269307e-07,0.009,6.526338001124646e-05,0.0081875,,,1.883238221176497e-05,0.0078125,2.5274714998255225e-05,0.008125,4.3645928443378954e-05,0.0075625,P01.0bar_H2O12pct_mf0.200
10.0,0.0,0.06,0.3,5.0,13.780070346978931,0.2812378678016324,2415.82220579383,0.0065625,127,0.9504003656034051,0.0,0.20999999999985,0.02,0.7899999999991661,0.02,0.2028065760106313,0.00653125,0.05721414781955345,0.005375,0.0745664420211164,0.00675,0.08785201684193714,0.00425,0.004191654136189085,0.006875,0.00043614308965962277,0.006625,0.0002913722094625699,0.006875,0.050135265244690634,0.004375,0.013227516483053184,0.004125,0.00012638978489709217,0.005625,0.002583381378021365,0.00475,0.0013730240424166085,0.004125,0.01794924513364695,0.00375,1.537707743982395e-07,0.005,0.0007178743420520706,0.00375,0.005981672652449796,0.004,3.1019364170956593e-07,0.005125,0.0005654310047373246,0.0045,,,0.002443684529675927,0.004125,0.001305759568251096,0.004125,0.01297456172434185,0.00425,P10.0bar_H2O00pct_mf0.060
10.0,0.0,0.1,0.3,2.9999999999999996,15.452266260130727,0.24136919524727318,2416.550879098755,0.00771875,120,0.9953884942581495,0.0,0.2099999999833698,0.02,0.7899999999287115,0.02,0.20056298993916472,0.0076875,0.05784855524944316,0.006625,0.07563828934718143,0.007875,0.08550807227084906,0.0055,0.004235940687821154,0.0079375,0.00044769181771534157,0.0078125,0.0002951370946273067,0.008,0.05209581945513308,0.005625,0.012031683318732488,0.005375,0.00013159044310122553,0.006875,0.0028505574793260455,0.006,0.0014275033515132197,0.005375,0.01734881638519817,0.0050625,1.5809341188553625e-07,0.00625,0.000687977269849211,0.005125,0.005800213447312293,0.005375,3.218023392985472e-07,0.006375,0.0005837754704210396,0.0058125,,,0.0023962318619737493,0.005375,0.0013049442422439213,0.0055,0.012401196058266622,0.0055,P10.0bar_H2O00pct_mf0.100
10.0,0.0,0.14,0.3,2.142857142857143,17.141834403835446,0.17292495789499396,2413.301523778417,0.0085859375,275,0.9997270171777026,0.0,0.2099999968873028,0.02,0.7899999936456935,0.02,0.19995798021013608,0.0085625,0.0576221830081715,0.007578125,0.07605902514216757,0.00875,0.08213892125914594,0.00653125,0.004241956890491921,0.0088125,0.00045548105076009674,0.00865625,0.0002957169387616805,0.00884375,0.05358807766939718,0.0066875,0.01081873389389578,0.006421875,0.00013601436490739535,0.00775,0.0031184394108253835,0.00703125,0.0014674911364867536,0.006421875,0.01630771132228587,0.006125,1.5871480280881882e-07,0.00721875,0.000638775971513169,0.00615625,0.005529599252345126,0.00634375,3.2489866045993816e-07,0.00734375,0.0005894140271415793,0.00678125,,,0.0023282505917751714,0.006421875,0.0012841808769601696,0.0064609375,0.011519764912772129,0.0065,P10.0bar_H2O00pct_mf0.140
10.0,0.0,0.2,0.3,1.4999999999999998,19.208052913253937,0.1719201006486302,2408.01844139679,0.00975,311,0.9999949347160468,0.0,0.20999996964502346,0.02,0.7899999470936082,0.02,0.1969853916440715,0.0097265625,0.057380325849956886,0.0088125,0.07777849772978321,0.00990625,0.07917178063053712,0.00784375,0.004186787187133999,0.00996875,0.00044895758008222546,0.0098125,0.0002943225439541424,0.01,0.05472968353556915,0.00796875,0.009886677072942137,0.007734375,0.00014113232819237083,0.00896875,0.0033525640372940664,0.0083125,0.0014998045629105033,0.007703125,0.015346116610938487,0.0074375,1.5980465570825114e-07,0.008484375,0.000596620453863237,0.00746875,0.005194523364408511,0.007640625,3.2922672011451425e-07,0.008609375,0.0005923533320667198,0.0080625,,,0.0022109410327044786,0.007703125,0.001233421328162555,0.00775,0.010510211770790052,0.00778125,P10.0bar_H2O00pct_mf0.200
